read group,code,format,segment,reason,failed read count,total read count
UGAv3-60,8,no trimming,insert,rsq file,19617,22835
UGAv3-684,8,no trimming,insert,rsq file,106482,109780
UGAv3-685,8,no trimming,insert,rsq file,14113,16761
UGAv3-686,8,no trimming,insert,rsq file,13236,20377
UGAv3-687,8,no trimming,insert,rsq file,3637,11853
UGAv3-688,8,no trimming,insert,rsq file,3179,6000
UGAv3-689,8,no trimming,insert,rsq file,431291,435476
UGAv3-690,8,no trimming,insert,rsq file,139947,153812
UGAv3-691,8,no trimming,insert,rsq file,49334,55520
UGAv3-897,8,no trimming,insert,rsq file,21752,37355
UGAv3-899,8,no trimming,insert,rsq file,65422,69124
UGAv3-900,8,no trimming,insert,rsq file,5785,15598
UGAv3-901,8,no trimming,insert,rsq file,1558,3220
UGAv3-902,8,no trimming,insert,rsq file,17357,27908
UGAv3-903,8,no trimming,insert,rsq file,39516,44248
UGAv3-904,8,no trimming,insert,rsq file,31722,35964
UGAv3-905,8,no trimming,insert,rsq file,2544,7347
UGAv3-915,8,no trimming,insert,rsq file,14615,35185
UGAv3-916,8,no trimming,insert,rsq file,16265,17058
UGAv3-917,8,no trimming,insert,rsq file,1064,3451
UGAv3-918,8,no trimming,insert,rsq file,1949,6680
UGAv3-919,8,no trimming,insert,rsq file,29651,36204
UGAv3-920,8,no trimming,insert,rsq file,179099,192602
UGAv3-921,8,no trimming,insert,rsq file,50318,56747
UGAv3-922,8,no trimming,insert,rsq file,320332,323534
UGAv3-923,8,no trimming,insert,rsq file,9882,19540
UGAv3-924,8,no trimming,insert,rsq file,1318,4557
UGAv3-925,8,no trimming,insert,rsq file,810,4215
UGAv3-926,8,no trimming,insert,rsq file,1896,3040
UGAv3-927,8,no trimming,insert,rsq file,1363,6832
UGAv3-928,8,no trimming,insert,rsq file,3360,6704
UGAv3-929,8,no trimming,insert,rsq file,2545,6835
UGAv3-930,8,no trimming,insert,rsq file,994,1516
UGAv3-931,8,no trimming,insert,rsq file,1834,8402
UGAv3-932,8,no trimming,insert,rsq file,1229,3882
UGAv3-933,8,no trimming,insert,rsq file,3230,5548
UGAv3-934,8,no trimming,insert,rsq file,36161,41681
UGAv3-935,8,no trimming,insert,rsq file,2858,13547
UGAv3-936,8,no trimming,insert,rsq file,36815,39991
UGAv3-937,8,no trimming,insert,rsq file,3075,4558
UGAv3-938,8,no trimming,insert,rsq file,130670,146694
UGAv3-939,8,no trimming,insert,rsq file,5357,23081
UGAv3-940,8,no trimming,insert,rsq file,19814,40075
UGAv3-941,8,no trimming,insert,rsq file,7509,10092
UGAv3-942,8,no trimming,insert,rsq file,2363,6719
UGAv3-943,8,no trimming,insert,rsq file,6428,15265
