read group,format,segment index,segment label,is required,is trimmed,num input reads,num prefiltered reads,num failed reads,num discarded reads,num filtered reads,num trimmed reads,num failures,num matches,num matched bases
UGAv3-1565,no trimming,0,insert,False,False,1826600,0,1810170,0,0,0,1810170,16430,3412253
UGAv3-1568,no trimming,0,insert,False,False,9349,0,4220,0,0,0,4220,5129,1531673
UGAv3-1570,no trimming,0,insert,False,False,383399,0,367711,0,0,0,367711,15688,4561277
UGAv3-1572,no trimming,0,insert,False,False,6189,0,5255,0,0,0,5255,934,280141
UGAv3-1574,no trimming,0,insert,False,False,56481,0,51164,0,0,0,51164,5317,1454553
UGAv3-1577,no trimming,0,insert,False,False,57126,0,43724,0,0,0,43724,13402,3781203
UGAv3-1589,no trimming,0,insert,False,False,41590,0,29843,0,0,0,29843,11747,3444056
UGAv3-1593,no trimming,0,insert,False,False,30170,0,8744,0,0,0,8744,21426,6501110
UGAv3-1598,no trimming,0,insert,False,False,14641,0,6994,0,0,0,6994,7647,2259306
UGAv3-1601,no trimming,0,insert,False,False,28704,0,17291,0,0,0,17291,11413,3309446
UGAv3-1602,no trimming,0,insert,False,False,6007,0,2664,0,0,0,2664,3343,974363
UGAv3-1607,no trimming,0,insert,False,False,21461,0,13356,0,0,0,13356,8105,2402377
UGAv3-1611,no trimming,0,insert,False,False,8958,0,1884,0,0,0,1884,7074,2102378
UGAv3-1612,no trimming,0,insert,False,False,6312,0,959,0,0,0,959,5353,1542859
UGAv3-1617,no trimming,0,insert,False,False,18595,0,11915,0,0,0,11915,6680,1967998
UGAv3-1618,no trimming,0,insert,False,False,61563,0,50498,0,0,0,50498,11065,3323385
UGAv3-1621,no trimming,0,insert,False,False,296541,0,289218,0,0,0,289218,7323,2138729
UGAv3-1633,no trimming,0,insert,False,False,7916,0,2314,0,0,0,2314,5602,1678949
UGAv3-1637,no trimming,0,insert,False,False,5520,0,3067,0,0,0,3067,2453,683096
UGAv3-1650,no trimming,0,insert,False,False,16774,0,4699,0,0,0,4699,12075,3507866
UGAv3-1652,no trimming,0,insert,False,False,29219,0,10342,0,0,0,10342,18877,5677329
UGAv3-1653,no trimming,0,insert,False,False,24426,0,5521,0,0,0,5521,18905,5739761
UGAv3-1665,no trimming,0,insert,False,False,26974,0,15021,0,0,0,15021,11953,3622299
UGAv3-1668,no trimming,0,insert,False,False,22697,0,7720,0,0,0,7720,14977,4534576
UGAv3-1682,no trimming,0,insert,False,False,13348,0,5874,0,0,0,5874,7474,2185098
UGAv3-1687,no trimming,0,insert,False,False,23335,0,3931,0,0,0,3931,19404,5862563
UGAv3-1689,no trimming,0,insert,False,False,59644,0,38783,0,0,0,38783,20861,6212401
UGAv3-1695,no trimming,0,insert,False,False,20963,0,10653,0,0,0,10653,10310,3080702
UGAv3-1697,no trimming,0,insert,False,False,21035,0,2561,0,0,0,2561,18474,5218953
UGAv3-1701,no trimming,0,insert,False,False,19687,0,14027,0,0,0,14027,5660,1711852
UGAv3-1710,no trimming,0,insert,False,False,53701,0,38601,0,0,0,38601,15100,4327048
UGAv3-1711,no trimming,0,insert,False,False,13666,0,5578,0,0,0,5578,8088,2446331
UGAv3-1713,no trimming,0,insert,False,False,13649,0,10476,0,0,0,10476,3173,904356
UGAv3-1714,no trimming,0,insert,False,False,78523,0,70143,0,0,0,70143,8380,2543337
UGAv3-1716,no trimming,0,insert,False,False,6327,0,3535,0,0,0,3535,2792,852695
UGAv3-1719,no trimming,0,insert,False,False,7219,0,6282,0,0,0,6282,937,280560
UGAv3-1720,no trimming,0,insert,False,False,18851,0,17036,0,0,0,17036,1815,559441
UGAv3-1725,no trimming,0,insert,False,False,7398,0,1967,0,0,0,1967,5431,1654127
UGAv3-1730,no trimming,0,insert,False,False,8181,0,5402,0,0,0,5402,2779,798886
UGAv3-1732,no trimming,0,insert,False,False,10376,0,3822,0,0,0,3822,6554,1889621
UGAv3-1735,no trimming,0,insert,False,False,15429,0,8001,0,0,0,8001,7427,2130197
UGAv3-1741,no trimming,0,insert,False,False,8803,0,6599,0,0,0,6599,2204,641536
UGAv3-1756,no trimming,0,insert,False,False,19947,0,7835,0,0,0,7835,12112,3628305
UGAv3-1757,no trimming,0,insert,False,False,20506,0,7228,0,0,0,7228,13278,3997847
UGAv3-1764,no trimming,0,insert,False,False,3626,0,2597,0,0,0,2597,1029,303087
UGAv3-1771,no trimming,0,insert,False,False,7961,0,2515,0,0,0,2515,5446,1642596
UGAv3-1773,no trimming,0,insert,False,False,15211,0,6164,0,0,0,6164,9047,2745211
UGAv3-1774,no trimming,0,insert,False,False,3052,0,1037,0,0,0,1037,2015,588587
UGAv3-1776,no trimming,0,insert,False,False,10568,0,2034,0,0,0,2034,8534,2494489
UGAv3-1778,no trimming,0,insert,False,False,29724,0,7534,0,0,0,7534,22190,6403708
UGAv3-1798,no trimming,0,insert,False,False,15760,0,14346,0,0,0,14346,1414,420388
UGAv3-1799,no trimming,0,insert,False,False,28101,0,26970,0,0,0,26970,1131,349313
UGAv3-1801,no trimming,0,insert,False,False,7644,0,5536,0,0,0,5536,2108,614851
UGAv3-1803,no trimming,0,insert,False,False,35820,0,19112,0,0,0,19112,16708,4908467
UGAv3-1806,no trimming,0,insert,False,False,128541,0,80830,0,0,0,80830,47711,14237507
UGAv3-1809,no trimming,0,insert,False,False,12676,0,2220,0,0,0,2220,10456,2990341
UGAv3-1814,no trimming,0,insert,False,False,26836,0,4710,0,0,0,4710,22126,6721608
UGAv3-1816,no trimming,0,insert,False,False,26639,0,8249,0,0,0,8249,18390,5548561
UGAv3-1817,no trimming,0,insert,False,False,19911,0,4906,0,0,0,4906,15005,4536604
UGAv3-1819,no trimming,0,insert,False,False,9054,0,2813,0,0,0,2813,6241,1843810
UGAv3-1826,no trimming,0,insert,False,False,6920,0,2681,0,0,0,2681,4239,1243396
UGAv3-1830,no trimming,0,insert,False,False,5712,0,1549,0,0,0,1549,4163,1184252
UGAv3-1839,no trimming,0,insert,False,False,13079,0,12346,0,0,0,12346,733,214036
UGAv3-1840,no trimming,0,insert,False,False,11296,0,2611,0,0,0,2611,8685,2585669
UGAv3-1845,no trimming,0,insert,False,False,6105,0,2382,0,0,0,2382,3723,1073147
UGAv3-1850,no trimming,0,insert,False,False,16887,0,8134,0,0,0,8134,8753,2634037
UGAv3-1851,no trimming,0,insert,False,False,43597,0,41918,0,0,0,41918,1679,482392
